animal,heifer,group,dam_age,c_interval,new_cd,dec
SIMUSAF000002624755,FALSE,272544_2018_S_FALSE,2595,378,41,2
SIMUSAF000002759225,FALSE,296861_2018_F_FALSE,2181,349,28,1
SIMUSAF000002137114,FALSE,000174_2014_S_FALSE,4764,388,38,2
SIMUSAF000003574358,FALSE,282824_2019_S_FALSE,1083,389,23,1
SIMUSAF000003087229,TRUE,160268_2017_F_TRUE,719,NA,5,1
SIMUSAF000002425279,FALSE,250201_2016_F_FALSE,3546,326,1,1
SIMUSAF000002608907,FALSE,000110_2016_S_FALSE,3993,326,32,2
AANUSAF000017232566,FALSE,244424_2016_F_FALSE,1894,409,81,3
SIMUSAF000002783030,FALSE,085948_2018_S_FALSE,1832,331,16,1
SIMUSAF000003374761,FALSE,305631_2019_S_FALSE,2558,374,15,1
SIMUSAF000002170730,FALSE,137577_2009_S_FALSE,2629,NA,14,1
SIMUSAF000002753720,FALSE,001751_2016_S_FALSE,1117,372,0,1
SIMUSAF000002928324,FALSE,297714_2020_F_FALSE,3255,398,164,4
AANUSAF000016804202,FALSE,121765_2020_S_FALSE,3984,382,19,1
SIMUSAF000009722611,FALSE,071720_2014_S_FALSE,1456,355,10,1
SIMUSAF000002627415,FALSE,008610_2012_F_FALSE,2601,392,46,2
SIMUSAF000001944221,FALSE,089330_2009_S_FALSE,4764,NA,14,1
SIMUSAF000002896746,FALSE,056821_2019_S_FALSE,1854,336,20,1
SIMUSAF000002612897,FALSE,056515_2016_S_FALSE,1843,385,34,2
SIMUSAF000009697002,FALSE,249078_2015_S_FALSE,1826,359,31,2
SIMUSAF000002375226,FALSE,007812_2009_S_FALSE,1122,NA,36,2
SIMUSAF000009722647,FALSE,071720_2013_S_FALSE,1062,362,1,1
SIMUSAF000003112815,FALSE,245306_2018_S_FALSE,1095,346,37,2
SIMUSAF000002358639,FALSE,114463_2011_F_FALSE,2580,NA,30,1
SIMUSAF000002784058,TRUE,000292_2015_S_TRUE,733,NA,5,1
SIMUSAF000002621439,FALSE,216279_2016_S_FALSE,1856,329,33,2
SIMUSAF000002308338,FALSE,102026_2012_S_FALSE,2938,336,21,1
SIMUSAF000002733759,TRUE,002360_2015_S_TRUE,664,NA,8,1
AANUSAF000016655384,FALSE,244424_2014_F_FALSE,1881,763,67,3
SIMUSAF000003162479,TRUE,216008_2017_F_TRUE,727,NA,12,1
SIMUSAF000002485594,FALSE,174428_2017_S_FALSE,2953,374,11,1
AANUSAF000015420326,FALSE,174170_2009_S_FALSE,2567,NA,32,2
SIMUSAF000002631079,FALSE,114824_2014_S_FALSE,1112,411,53,2
SIMUSAF000003142586,FALSE,250304_2019_S_FALSE,2546,387,20,1
SIMUSAF000002256469,FALSE,004485_2009_S_FALSE,1802,NA,12,1
SIMUSAF000002539645,TRUE,019699_2012_S_TRUE,677,NA,0,1
SIMUSAF000002592908,FALSE,048671_2014_S_FALSE,1087,367,0,1
SIMUSAF000002109623,FALSE,006176_2009_S_FALSE,2908,NA,4,1
SIMUSAF000002375250,FALSE,004485_2016_S_FALSE,3655,365,26,1
SIMUSAF000002385499,FALSE,200273_2011_S_FALSE,1485,397,32,2
SIMUSAF000002970873,TRUE,006438_2017_S_TRUE,781,NA,58,2
SIMUSAF000001892746,FALSE,000174_2009_S_FALSE,4714,NA,27,1
SIMUSAF000002825277,FALSE,272544_2018_S_FALSE,1876,741,39,2
SIMUSAF000002927140,FALSE,285397_2019_S_FALSE,1588,511,7,1
SIMUSAF000002631184,FALSE,114824_2015_S_FALSE,1488,399,57,2
SIMUSAF000003222389,TRUE,325735_2018_S_TRUE,703,NA,10,1
SIMUSAF000009755711,FALSE,223614_2017_S_FALSE,2224,346,15,1
SIMUSAF000002635325,TRUE,006207_2013_S_TRUE,729,NA,88,3
SIMUSAF000008987448,FALSE,000110_2014_S_FALSE,5941,364,30,1
SIMUSAF000002353541,FALSE,072962_2012_S_FALSE,2197,396,21,1
SIMUSAF000009628352,FALSE,223617_2012_S_FALSE,1108,383,9,1
SIMUSAF000002871773,FALSE,046911_2016_F_FALSE,1107,379,9,1
SIMUSAF000002654892,FALSE,161138_2015_S_FALSE,1115,345,61,3
SIMUSAF000009736706,FALSE,222263_2013_S_FALSE,1438,326,0,1
SIMUSAF000002801885,FALSE,262209_2018_S_FALSE,3697,731,2,1
SIMUSAF000002596712,TRUE,041248_2013_S_TRUE,703,NA,8,1
SIMUSAF000002435047,FALSE,028998_2011_F_FALSE,1446,351,35,2
SIMUSAF000003438877,FALSE,281389_2020_S_FALSE,1097,385,28,1
SIMUSAF000002363888,FALSE,168882_2009_S_FALSE,1410,NA,7,1
SIMUSAF000009857838,FALSE,207221_2016_S_FALSE,1499,NA,35,2
SIMUSAF000002193106,FALSE,224643_2010_S_FALSE,2583,425,91,4
SIMUSAF000003349253,TRUE,273776_2019_S_TRUE,788,NA,84,3
SIMUSAF000003040100,FALSE,255771_2020_S_FALSE,2934,379,26,1
SIMUSAF000002617307,FALSE,127414_2014_S_FALSE,1054,NA,7,1
AANUSAF000016246063,FALSE,051018_2016_S_FALSE,2950,NA,23,1
AANUSAF000014629162,FALSE,000110_2013_S_FALSE,3610,358,1,1
SIMUSAF000002984448,TRUE,287534_2017_S_TRUE,736,NA,25,1
SIMUSAF000002399134,FALSE,038155_2012_S_FALSE,1790,365,26,1
SIMUSAF000002876805,FALSE,000967_2017_S_FALSE,1144,417,102,4
SIMUSAF000002297734,FALSE,159119_2009_S_FALSE,1481,NA,41,2
SIMUSAF000002782070,FALSE,267989_2017_S_FALSE,1486,383,47,2
SIMUSAF000002572810,FALSE,156383_2018_S_FALSE,2839,713,3,1
SIMUSAF000009606144,FALSE,171834_2012_F_FALSE,2471,NA,77,3
SIMUSAF000002118980,FALSE,194156_2009_S_FALSE,2922,NA,29,1
SIMUSAF000002372719,FALSE,041867_2012_S_FALSE,2164,354,7,1
SIMUSAF000002357317,FALSE,204459_2017_S_FALSE,3770,372,17,1
SIMUSAF000002910986,TRUE,273776_2016_S_TRUE,689,NA,8,1
SIMUSAF000003336501,FALSE,247788_2019_S_FALSE,1134,418,50,2
SIMUSAF000002169849,FALSE,018335_2013_S_FALSE,4020,378,10,1
SIMUSAF000002446346,FALSE,008201_2011_S_FALSE,1077,378,46,2
SIMUSAF000002851071,FALSE,087145_2015_S_FALSE,1126,NA,53,2
SIMUSAF000002346782,FALSE,089330_2017_S_FALSE,4054,410,39,2
SIMUSAF000009700384,FALSE,000100_2013_S_FALSE,4402,345,45,2
SIMUSAF000009019344,FALSE,249078_2010_S_FALSE,4385,378,25,1
SIMUSAF000009529736,FALSE,034240_2009_S_FALSE,800,NA,4,1
SIMUSAF000002566765,FALSE,001748_2015_F_FALSE,2008,453,0,1
SIMUSAF000003157608,FALSE,009491_2020_F_FALSE,1717,533,0,1
SIMUSAF000002432774,FALSE,129528_2017_F_FALSE,3632,369,6,1
SIMUSAF000002225173,FALSE,005242_2010_S_FALSE,2571,357,14,1
SIMUSAF000002309917,FALSE,220135_2010_S_FALSE,1860,382,33,2
SIMUSAF000002930121,FALSE,270500_2017_S_FALSE,1087,NA,0,1
SIMUSAF000002741092,FALSE,204459_2017_S_FALSE,1449,345,31,2
SIMUSAF000003058082,TRUE,255771_2017_S_TRUE,757,NA,27,1
SIMUSAF000002103706,FALSE,004545_2010_S_FALSE,3616,374,19,1
SIMUSAF000003128322,TRUE,260870_2018_S_TRUE,735,NA,3,1
SIMUSAF000002275705,FALSE,067968_2010_S_FALSE,2132,359,1,1
AANUSAF000014914046,FALSE,171834_2010_F_FALSE,2373,520,49,2
SIMUSAF000002499006,FALSE,001855_2015_S_FALSE,2529,338,70,3
SIMUSAF000002471905,FALSE,004561_2012_F_FALSE,1440,404,40,2
SIMUSAF000002055534,FALSE,108162_2009_S_FALSE,3224,NA,0,1
SIMUSAF000002726672,FALSE,220135_2016_F_FALSE,1341,582,53,2
SIMUSAF000002673874,FALSE,012356_2017_F_FALSE,1836,687,15,1
SIMUSAF000002709802,FALSE,250074_2013_F_FALSE,4104,393,24,1
SIMUSAF000002823410,FALSE,000110_2016_S_FALSE,1096,366,16,1
SIMUSAF000002426856,FALSE,148238_2017_S_FALSE,3650,311,75,3
SIMUSAF000002591610,FALSE,181448_2016_S_FALSE,1849,395,41,2
SIMUSAF000002406350,TRUE,018335_2009_S_TRUE,728,NA,8,1
SIMUSAF000003185508,FALSE,004441_2019_S_FALSE,1166,410,75,3
SIMUSAF000002443485,FALSE,216919_2013_S_FALSE,1917,372,70,3
SIMUSAF000008842290,FALSE,106086_2009_S_FALSE,4479,NA,116,4
SIMUSAF000002545617,TRUE,237231_2012_S_TRUE,728,NA,11,1
SIMUSAF000002344521,FALSE,049997_2012_S_FALSE,2239,1073,82,3
SIMUSAF000002449992,FALSE,066206_2012_S_FALSE,1485,375,17,1
SIMUSAF000002069797,FALSE,002773_2009_S_FALSE,3319,NA,25,1
SIMUSAF000002685570,FALSE,000508_2016_S_FALSE,1455,320,11,1
SIMUSAF000002267955,FALSE,066206_2011_S_FALSE,2561,332,13,1
SIMUSAF000009605541,FALSE,058441_2013_S_FALSE,1847,352,0,1
SIMUSAF000002800377,FALSE,001132_2016_S_FALSE,1131,350,24,1
SIMUSAF000003383142,TRUE,156629_2019_F_TRUE,770,NA,60,2
AANUSAF000017229848,TRUE,244424_2013_F_TRUE,736,NA,19,1
SIMUSAF000003033021,FALSE,000508_2020_S_FALSE,1853,363,21,1
SIMUSAF000009819707,FALSE,249078_2016_S_FALSE,2243,420,76,3
SIMUSAF000002540029,FALSE,224815_2018_S_FALSE,3300,367,8,1
SIMUSAF000002135069,FALSE,089975_2009_S_FALSE,2917,NA,44,2
SIMUSAF000009723339,FALSE,012356_2013_F_FALSE,1135,386,15,1
SIMUSAF000002418036,TRUE,042628_2009_S_TRUE,773,NA,34,2
SIMUSAF000002541006,FALSE,046911_2012_F_FALSE,1406,NA,104,4
SIMUSAF000002521345,FALSE,067254_2012_S_FALSE,1501,415,51,2
SIMUSAF000009788850,TRUE,243871_2012_S_TRUE,739,NA,18,1
SIMUSAF000002169499,FALSE,070192_2010_F_FALSE,3604,344,17,1
SIMUSAF000002504623,FALSE,067567_2014_S_FALSE,1793,331,0,1
SIMUSAF000002523718,FALSE,000357_2019_S_FALSE,3665,364,15,1
SIMUSAF000002663326,FALSE,195036_2015_S_FALSE,1111,NA,11,1
SIMUSAF000002183929,FALSE,009828_2010_S_FALSE,3274,NA,19,1
SIMUSAF000002365661,FALSE,108747_2012_S_FALSE,2201,367,22,1
SIMUSAF000002485441,FALSE,052515_2013_S_FALSE,1499,361,28,1
SIMUSAF000008913536,FALSE,240622_2009_S_FALSE,2179,NA,30,1
SIMUSAF000003021643,FALSE,108021_2018_F_FALSE,1069,NA,18,1
SIMUSAF000002406363,TRUE,190425_2009_S_TRUE,724,NA,0,1
SIMUSAF000002765794,FALSE,092820_2017_S_FALSE,1476,370,19,1
SIMUSAF000002295108,FALSE,148238_2011_S_FALSE,2199,368,20,1
SIMUSAF000002403593,FALSE,175712_2018_S_FALSE,4746,368,32,2
SIMUSAF000003112792,FALSE,245306_2019_S_FALSE,1422,732,17,1
SIMUSAF000002377084,FALSE,111505_2009_S_FALSE,1065,NA,7,1
SIMUSAF000002578104,FALSE,006438_2013_S_FALSE,1111,NA,49,2
SIMUSAF000002450877,FALSE,186156_2011_S_FALSE,849,NA,0,1
SIMUSAF000002654998,FALSE,047933_2017_S_FALSE,1774,320,0,1
SIMUSAF000002917249,TRUE,067254_2016_S_TRUE,712,NA,6,1
SIMUSAF000009135231,FALSE,012356_2013_F_FALSE,2551,387,44,2
SIMUSAF000002944660,FALSE,000110_2019_S_FALSE,1824,381,40,2
SIMUSAF000002713798,FALSE,006438_2016_S_FALSE,1127,403,58,2
SIMUSAF000002619345,FALSE,043427_2015_S_FALSE,1359,NA,0,1
SIMUSAF000002598373,FALSE,141843_2016_S_FALSE,1827,367,18,1
SIMUSAF000002140711,FALSE,000967_2012_S_FALSE,4090,391,76,3
SIMUSAF000009634957,FALSE,087145_2019_S_FALSE,3675,381,32,2
SIMUSAF000002331827,FALSE,226255_2015_S_FALSE,3379,416,117,4
SIMUSAF000002329687,FALSE,156629_2009_F_FALSE,1478,NA,26,1
SIMUSAF000003261745,FALSE,008973_2020_S_FALSE,1219,520,1,1
SIMUSAF000002568556,FALSE,137549_2013_S_FALSE,1098,385,41,2
SIMUSAF000002651601,FALSE,059044_2014_S_FALSE,1128,416,41,2
SIMUSAF000009126065,FALSE,255848_2009_S_FALSE,1502,NA,44,2
SIMUSAF000003072483,FALSE,226013_2018_S_FALSE,1079,NA,1,1
SIMUSAF000002785479,FALSE,277792_2013_S_FALSE,2199,NA,24,1
SIMUSAF000008885690,FALSE,005623_2011_S_FALSE,3845,339,27,1
SIMUSAF000002781710,FALSE,290208_2016_S_FALSE,2573,384,12,1
SIMAUSF0000MBBPK207,TRUE,252519_2016_S_TRUE,801,NA,116,4
SIMUSAF000002541016,TRUE,130771_2011_F_TRUE,755,NA,44,2
SIMUSAF000002159278,FALSE,008105_2012_S_FALSE,4015,355,18,1
SIMUSAF000003028849,FALSE,059044_2019_S_FALSE,1467,364,11,1
SIMUSAF000002236581,FALSE,005390_2014_S_FALSE,3666,385,25,1
SIMUSAF000002340641,FALSE,009178_2010_F_FALSE,1449,450,0,1
SIMUSAF000002419529,TRUE,076572_2009_S_TRUE,738,NA,19,1
SIMUSAF000002597888,FALSE,114550_2016_S_FALSE,1827,386,20,1
SIMUSAF000002731930,FALSE,251872_2016_S_FALSE,1091,NA,0,1
SIMUSAF000003059016,FALSE,235805_2020_S_FALSE,1818,364,19,1
SIMUSAF000002737709,FALSE,226966_2018_S_FALSE,1802,354,12,1
SIMUSAF000002803048,FALSE,273776_2017_S_FALSE,3993,347,30,1
SIMUSAF000002462047,FALSE,262957_2011_S_FALSE,1098,NA,47,2
SIMUSAF000002483576,FALSE,067563_2014_F_FALSE,2201,687,27,1
SIMUSAF000003393373,FALSE,337302_2019_S_FALSE,1118,418,36,2
SIMUSAF000002473045,FALSE,019323_2012_F_FALSE,1353,316,32,2
SIMUSAF000002610245,TRUE,002945_2012_F_TRUE,701,NA,1,1
SIMUSAF000002299968,FALSE,000967_2009_S_FALSE,1470,NA,31,2
SIMUSAF000002606703,FALSE,008605_2017_S_FALSE,2554,357,9,1
SIMUSAF000002586306,FALSE,005390_2019_F_FALSE,5155,383,81,3
SIMUSAF000002646914,FALSE,006931_2015_S_FALSE,1103,350,39,2
SIMUSAF000002952723,FALSE,197381_2018_S_FALSE,1103,366,0,1
SIMUSAF000002562444,FALSE,001751_2014_S_FALSE,1466,335,35,2
SIMUSAF000002353005,FALSE,201248_2010_S_FALSE,1566,359,116,4
SIMUSAF000002507457,FALSE,072962_2013_S_FALSE,1464,345,35,2
SIMUSAF000002613158,FALSE,004859_2016_S_FALSE,1827,341,5,1
SIMUSAF000002301834,FALSE,066206_2009_S_FALSE,1481,NA,34,2
SIMUSAF000003187566,TRUE,161048_2018_S_TRUE,732,NA,4,1
